scaffold_rank,scaffold_smiles,series_size,n_severe_cliffs,n_possible_pairs,cliff_density,smoothness_score,mean_pic50,median_pic50,potency_range,sd_pic50,mean_sali,max_sali,contains_patent_exclusive
180,O=C(c1ccc2cc(-c3cc4cccnc4n3CC3CC3)oc2c1)N1CCCCC1,3,0,3,0.0,1.0,6.272,6.105,0.67,0.365,1.764,2.856,False
181,O=C(NCc1ccc2cc(-c3nc4cc(C(=O)N5CC[C@H]6CC[C@@H]5C6)ccc4[nH]3)n(CC3CC3)c2n1)C1CCC1,3,0,3,0.0,1.0,7.045,7.054,0.089,0.045,0.353,0.497,True
182,O=C(c1ccc2[nH]c(-c3cc4ccc(C5CNC5)nc4n3CC3CC3)nc2c1)N1CCCCC1,3,0,3,0.0,1.0,7.046,6.866,0.718,0.391,3.66,5.725,False
183,O=C(c1ccc2cc(-c3cc4ccccc4n3CC3CC3)nn2c1)N1CCCCC1,3,0,3,0.0,1.0,6.825,6.513,1.747,0.914,7.043,12.069,False
184,O=C(c1ccc2cc(-c3cc4ccc(-c5ccn6cnnc6c5)nc4n3CC3CC3)nn2c1)N1CC2CCC1C2,3,0,3,0.0,1.0,7.36,7.432,1.0,0.504,3.715,5.294,False
185,O=C(c1ccc2cc(-c3cc4ccc(-c5ccn6cnnc6c5)cc4n3CC3CC3)nn2c1)N1CCCCC1,3,0,3,0.0,1.0,6.994,7.0,0.391,0.196,1.207,1.934,False
186,O=C(c1ccc2cc(-c3cc4ccc(-c5cccnc5)nc4n3CC3CC3)nn2c1)N1CC2CCC1C2,3,0,3,0.0,1.0,7.485,7.301,0.845,0.452,2.353,4.424,False
187,O=C(c1ccc2cc(-c3cc4ccc(-c5cccnc5)cc4n3CC3CC3)nn2c1)N1CCCCC1,3,0,3,0.0,1.0,6.967,6.854,0.556,0.295,1.743,3.375,False
188,O=C(c1ccc2cc(-c3cc4ccc(-c5ccccc5)nc4n3CC3CC3)sc2c1)N1CC2CCC1C2,3,0,3,0.0,1.0,6.572,6.674,0.738,0.379,2.974,5.532,False
189,O=C(c1ccc2[nH]c(-c3ccc(-c4ccccc4)n3CC3CC3)nc2c1)N1CCCCC1,3,0,3,0.0,1.0,5.285,5.0,0.854,0.493,3.986,3.986,False
190,O=C(c1ccc2[nH]c(-c3cc4sccc4n3CC3CC3)nc2c1)N1CCCCC1,3,0,3,0.0,1.0,7.154,7.174,0.156,0.08,0.521,0.736,False
191,O=C(c1ccc2[nH]c(-c3cc4cccnc4n3CC3CC3)nc2c1)N1CC2CCC1C2,3,0,3,0.0,1.0,7.532,7.495,0.138,0.076,0.535,0.897,False
192,O=C(c1ccc2[nH]c(-c3cc4ccc(-c5ccc(N6CCCC6=O)nc5)nc4n3CC3CC3)nc2c1)N1CCCCC1,3,0,3,0.0,1.0,7.091,6.863,0.727,0.414,2.497,5.037,False
